Station_ID        Label   Longitude     Latitude             East            North               Up
       333         S6-1 116.7369384 -26.81849759  -2734.852150611    689.381696649     -0.623363157
       334         S6-2 116.7374566 -26.81848799  -2683.336179603    690.456439833     -0.601613615
       335         S6-3 116.7372028 -26.81825846  -2708.572843660    715.883127744     -0.615089897
       336         S6-4 116.7376329 -26.81799621  -2665.821042228    744.949704288     -0.600434508
       337         S6-5 116.7367779 -26.81796736  -2750.820855503    748.128065508     -0.636876778
       338         S6-6 116.7372458  -26.8178076  -2704.308744460    765.839630314     -0.619111688
       339         S7-1 116.7286485 -26.83374709  -3558.505595779  -1000.480358248     -1.070843276
       340         S7-2 116.7281764 -26.83347982  -3605.440995420   -970.879919792     -1.092588436
       341         S7-3 116.7290074 -26.83342162  -3522.840855060   -964.407980211     -1.045476000
       342         S7-4 116.7286519  -26.8332142  -3558.184285998   -941.435571117     -1.061633570
       343         S7-5 116.7288959  -26.8329414  -3533.938936724   -911.202272514     -1.043751614
       344         S7-6  116.728237 -26.83288695  -3599.436056415   -905.187673315     -1.079492528
